,issue_key1,issue_key2,time_add_to_sprint,created,from_string,to_string,field,if_before
121,CART-524,,2018-12-17 10:37:00,,,,,
122,CART-525,,2018-10-08 11:26:16,,,,,
123,CART-527,,2018-09-28 02:06:34,,,,,
124,CART-529,,2018-10-08 11:16:46,,,,,
125,CART-53,,2017-01-30 08:09:21,,,,,
126,CART-538,,2018-11-05 11:50:28,,,,,
127,CART-539,,2018-11-05 11:56:29,,,,,
128,CART-54,,2016-10-11 09:20:22,,,,,
129,CART-540,,2018-11-05 12:03:35,,,,,
130,CART-545,,2018-11-14 08:18:40,,,,,
131,CART-549,,2018-11-19 11:27:32,,,,,
132,CART-552,,2018-11-22 06:14:57,,,,,
133,CART-557,,2018-12-17 10:38:46,,,,,
134,CART-564,,2018-12-17 10:34:47,,,,,
135,CART-565,,2019-02-11 12:32:13,,,,,
136,CART-566,,2018-12-17 10:37:22,,,,,
137,CART-571,,2019-01-25 03:42:39,,,,,
138,CART-573,,2019-01-29 12:34:36,,,,,
139,CART-594,,2019-02-28 12:00:32,,,,,
140,CART-604,,2020-01-22 10:52:35,,,,,
141,CART-633,,2020-01-22 10:52:53,,,,,
142,CART-667,,2020-01-22 10:52:41,,,,,
143,CART-721,,2020-01-22 10:57:22,,,,,
144,CART-722,,2020-01-22 10:52:27,,,,,
145,CART-724,,2020-01-22 10:52:42,,,,,
146,CART-725,,2020-01-22 10:52:39,,,,,
147,CART-768,,2020-01-22 10:57:43,,,,,
148,CART-77,,2016-12-05 08:58:43,,,,,
149,CART-805,,2020-01-22 10:52:57,,,,,
150,CART-812,,2020-01-22 10:52:32,,,,,
151,CART-814,,2020-01-22 10:52:39,,,,,
152,CART-815,,2020-01-22 10:52:47,,,,,
153,CART-821,,2020-01-22 10:52:46,,,,,
154,CART-827,,2020-01-22 10:52:29,,,,,
155,CART-83,,2016-12-05 09:01:30,,,,,
156,CART-832,,2020-01-08 14:27:30,,,,,
157,CART-835,,2020-01-22 10:57:30,,,,,
158,CART-837,,2020-01-22 10:57:33,,,,,
159,CART-838,,2020-01-22 10:57:47,,,,,
160,CART-861,,2020-06-29 15:54:55,,,,,
161,DAOS-10,,2016-04-06 03:13:52,,,,,
162,DAOS-1003,,2018-07-17 14:08:00,,,,,
163,DAOS-1005,,2018-06-05 07:54:35,,,,,
164,DAOS-1006,,2018-06-05 10:16:53,,,,,
165,DAOS-1007,,2018-06-05 10:31:39,,,,,
166,DAOS-1008,,2018-06-19 10:39:38,,,,,
167,DAOS-1009,,2018-06-19 10:39:38,,,,,
168,DAOS-1010,,2018-06-19 10:39:38,,,,,
169,DAOS-1011,,2018-06-19 10:39:38,,,,,
170,DAOS-1012,,2018-06-19 10:39:38,,,,,
171,DAOS-1013,,2018-06-05 10:41:43,,,,,
172,DAOS-1015,,2018-06-05 14:35:27,,,,,
173,DAOS-1016,,2018-06-06 08:28:23,,,,,
174,DAOS-1017,,2018-06-19 16:46:34,,,,,
175,DAOS-1018,,2018-06-06 08:27:50,,,,,
176,DAOS-1019,DAOS-1019,2018-06-06 08:27:19,2022-03-10 08:01:51,,This issue verifies SRS-205,Link,0.0
177,DAOS-1019,DAOS-1019,2018-06-06 08:27:19,2022-03-10 08:01:24,,This issue verifies SRS-204,Link,0.0
178,DAOS-102,,2016-06-09 09:09:02,,,,,
179,DAOS-1020,,2018-06-05 17:21:32,,,,,
180,DAOS-1021,,2018-06-05 16:47:00,,,,,
181,DAOS-1022,,2018-07-17 16:20:10,,,,,
182,DAOS-1023,,2018-06-05 17:19:52,,,,,
183,DAOS-1024,,2018-06-05 17:20:48,,,,,
184,DAOS-1029,,2018-06-08 12:34:11,,,,,
185,DAOS-1031,,2018-06-11 15:20:36,,,,,
186,DAOS-1034,,2018-07-31 16:43:06,,,,,
187,DAOS-1038,,2018-06-19 17:26:43,,,,,
188,DAOS-1039,,2018-06-19 17:26:43,,,,,
189,DAOS-104,,2016-06-13 06:54:50,,,,,
190,DAOS-1040,,2018-06-19 07:37:47,,,,,
191,DAOS-1041,,2018-06-19 10:24:10,,,,,
192,DAOS-1042,,2018-06-19 10:37:57,,,,,
193,DAOS-1043,,2018-06-19 12:22:29,,,,,
194,DAOS-1044,,2018-06-19 14:18:54,,,,,
195,DAOS-1045,,2018-06-19 14:33:26,,,,,
196,DAOS-1046,,2018-06-19 16:46:05,,,,,
197,DAOS-1047,,2018-06-19 17:26:43,,,,,
198,DAOS-1049,,2018-06-19 15:46:30,,,,,
199,DAOS-105,,2016-06-13 07:07:53,,,,,
200,DAOS-1050,,2018-06-19 17:27:14,,,,,
201,DAOS-1051,,2018-06-19 15:54:10,,,,,
202,DAOS-1052,,2018-06-19 15:56:38,,,,,
203,DAOS-1053,,2018-06-19 16:04:35,,,,,
204,DAOS-1054,,2018-06-19 16:28:52,,,,,
205,DAOS-1055,,2018-06-19 17:22:28,,,,,
206,DAOS-1056,,2018-06-19 17:24:17,,,,,
207,DAOS-1057,,2018-07-05 16:49:05,,,,,
208,DAOS-1058,,2018-06-21 08:12:30,,,,,
209,DAOS-1061,,2018-08-06 09:25:04,,,,,
