project_key,usability_label,size,feature_importance,accuracy_rf,confusion_matrix_rf,classification_report_rf,area_under_pre_recall_curve_rf,avg_precision_rf,area_under_roc_curve_rf,y_pred_rf,precision_rf,recall_rf,thresholds_rf,y_test,features
Jira,is_change_text_num_words_5,5,"1    0.226317
3    0.219507
2    0.193995
4    0.180989
0    0.179192
dtype: float64",0.5141955835962145,"[[154   0]
 [154   9]]","              precision    recall  f1-score   support

           0       0.50      1.00      0.67       154
           1       1.00      0.06      0.10       163

    accuracy                           0.51       317
   macro avg       0.75      0.53      0.39       317
weighted avg       0.76      0.51      0.38       317
",0.674196376745372,0.6753036805832738,0.6331567205800335,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0.51419558 0.51582278 0.51428571 0.51592357 0.51757188 0.51923077
 0.52258065 0.5210356  0.52272727 0.52442997 0.52287582 0.52459016
 0.52631579 0.52475248 0.52649007 0.5282392  0.52508361 0.52348993
 0.52188552 0.52380952 0.5221843  0.52054795 0.51736111 0.51916376
 0.52097902 0.52857143 0.52688172 0.52877698 0.5326087  0.53454545
 0.53649635 0.53846154 0.54074074 0.54275093 0.54104478 0.54339623
 0.54752852 0.54580153 0.5440613  0.54230769 0.54440154 0.54474708
 0.546875   0.54509804 0.54330709 0.54150198 0.54581673 0.548
 0.55241935 0.55284553 0.55510204 0.55737705 0.56666667 0.56722689
 0.56837607 0.56896552 0.57142857 0.57391304 0.57641921 0.57709251
 0.57522124 0.57333333 0.56950673 0.56756757 0.56621005 0.56880734
 0.56944444 0.57209302 0.57276995 0.57075472 0.56872038 0.56666667
 0.56937799 0.56730769 0.56521739 0.56650246 0.56435644 0.565
 0.56281407 0.56852792 0.56632653 0.56410256 0.56701031 0.56476684
 0.56770833 0.56842105 0.57446809 0.57219251 0.56989247 0.57297297
 0.57377049 0.57692308 0.57458564 0.57222222 0.5698324  0.57062147
 0.57386364 0.58045977 0.58139535 0.58479532 0.58579882 0.58682635
 0.58433735 0.58282209 0.58641975 0.59006211 0.59493671 0.59235669
 0.59615385 0.5974026  0.59477124 0.59868421 0.60264901 0.6
 0.59731544 0.60135135 0.60958904 0.60839161 0.61267606 0.61702128
 0.61313869 0.60740741 0.60447761 0.60902256 0.61363636 0.61538462
 0.625      0.62992126 0.63492063 0.64       0.64516129 0.6557377
 0.65289256 0.65833333 0.66386555 0.66949153 0.67521368 0.66956522
 0.66371681 0.66071429 0.66666667 0.67272727 0.67592593 0.68224299
 0.67924528 0.67619048 0.67307692 0.66990291 0.66336634 0.66
 0.65656566 0.66326531 0.67708333 0.69148936 0.69892473 0.70652174
 0.72222222 0.72727273 0.72413793 0.72093023 0.71428571 0.71084337
 0.70731707 0.71604938 0.72151899 0.71794872 0.71052632 0.71621622
 0.71232877 0.70833333 0.71014493 0.72058824 0.73134328 0.72727273
 0.72307692 0.71875    0.73015873 0.74193548 0.76666667 0.76271186
 0.75438596 0.75       0.74074074 0.73584906 0.73076923 0.7254902
 0.72       0.71428571 0.70833333 0.70212766 0.70454545 0.72093023
 0.73809524 0.73170732 0.75       0.76923077 0.76315789 0.78378378
 0.80555556 0.82857143 0.84848485 0.84375    0.9        0.92857143
 0.92307692 0.92       0.91666667 0.90909091 0.9047619  0.9
 0.89473684 0.88888889 0.88235294 0.875      0.86666667 0.85714286
 0.84615385 0.91666667 0.90909091 0.9        1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[1.         1.         0.99386503 0.99386503 0.99386503 0.99386503
 0.99386503 0.98773006 0.98773006 0.98773006 0.98159509 0.98159509
 0.98159509 0.97546012 0.97546012 0.97546012 0.96319018 0.95705521
 0.95092025 0.94478528 0.93865031 0.93251534 0.91411043 0.91411043
 0.91411043 0.90797546 0.90184049 0.90184049 0.90184049 0.90184049
 0.90184049 0.90184049 0.89570552 0.89570552 0.88957055 0.88343558
 0.88343558 0.87730061 0.87116564 0.86503067 0.86503067 0.85889571
 0.85889571 0.85276074 0.84662577 0.8404908  0.8404908  0.8404908
 0.8404908  0.83435583 0.83435583 0.83435583 0.83435583 0.82822086
 0.81595092 0.80981595 0.80981595 0.80981595 0.80981595 0.80368098
 0.79754601 0.79141104 0.7791411  0.77300613 0.7607362  0.7607362
 0.75460123 0.75460123 0.74846626 0.74233129 0.73619632 0.73006135
 0.73006135 0.72392638 0.71779141 0.70552147 0.6993865  0.69325153
 0.68711656 0.68711656 0.6809816  0.67484663 0.67484663 0.66871166
 0.66871166 0.66257669 0.66257669 0.65644172 0.65030675 0.65030675
 0.64417178 0.64417178 0.63803681 0.63190184 0.62576687 0.6196319
 0.6196319  0.6196319  0.61349693 0.61349693 0.60736196 0.60122699
 0.59509202 0.58282209 0.58282209 0.58282209 0.57668712 0.57055215
 0.57055215 0.56441718 0.55828221 0.55828221 0.55828221 0.55214724
 0.54601227 0.54601227 0.54601227 0.53374233 0.53374233 0.53374233
 0.51533742 0.50306748 0.49693252 0.49693252 0.49693252 0.49079755
 0.49079755 0.49079755 0.49079755 0.49079755 0.49079755 0.49079755
 0.48466258 0.48466258 0.48466258 0.48466258 0.48466258 0.47239264
 0.4601227  0.45398773 0.45398773 0.45398773 0.44785276 0.44785276
 0.44171779 0.43558282 0.42944785 0.42331288 0.41104294 0.40490798
 0.39877301 0.39877301 0.39877301 0.39877301 0.39877301 0.39877301
 0.39877301 0.39263804 0.38650307 0.3803681  0.36809816 0.36196319
 0.35582822 0.35582822 0.34969325 0.34355828 0.33128834 0.32515337
 0.3190184  0.31288344 0.3006135  0.3006135  0.3006135  0.29447853
 0.28834356 0.28220859 0.28220859 0.28220859 0.28220859 0.27607362
 0.26380368 0.25766871 0.24539877 0.2392638  0.23312883 0.22699387
 0.2208589  0.21472393 0.20858896 0.20245399 0.19018405 0.19018405
 0.19018405 0.18404908 0.18404908 0.18404908 0.17791411 0.17791411
 0.17791411 0.17791411 0.17177914 0.16564417 0.16564417 0.1595092
 0.14723926 0.14110429 0.13496933 0.12269939 0.11656442 0.11042945
 0.10429448 0.09815951 0.09202454 0.08588957 0.0797546  0.07361963
 0.06748466 0.06748466 0.06134969 0.05521472 0.05521472 0.04907975
 0.04294479 0.03680982 0.03067485 0.02453988 0.01840491 0.01226994
 0.00613497 0.        ]","[0.003 0.004 0.005 0.007 0.008 0.011 0.012 0.014 0.015 0.018 0.019 0.024
 0.029 0.03  0.032 0.036 0.038 0.039 0.04  0.041 0.043 0.045 0.046 0.05
 0.052 0.053 0.054 0.055 0.056 0.057 0.058 0.059 0.06  0.063 0.066 0.067
 0.068 0.07  0.071 0.078 0.079 0.081 0.082 0.084 0.085 0.087 0.088 0.09
 0.091 0.092 0.094 0.095 0.096 0.098 0.099 0.1   0.102 0.103 0.104 0.106
 0.107 0.108 0.109 0.11  0.112 0.113 0.118 0.119 0.12  0.121 0.123 0.124
 0.126 0.127 0.128 0.129 0.133 0.134 0.136 0.137 0.141 0.144 0.145 0.146
 0.148 0.149 0.151 0.154 0.156 0.158 0.161 0.162 0.168 0.169 0.173 0.174
 0.175 0.176 0.178 0.181 0.184 0.185 0.186 0.187 0.189 0.192 0.194 0.197
 0.2   0.201 0.202 0.203 0.207 0.21  0.213 0.216 0.217 0.218 0.222 0.223
 0.225 0.227 0.229 0.232 0.238 0.239 0.24  0.242 0.244 0.245 0.246 0.247
 0.249 0.25  0.251 0.253 0.255 0.257 0.26  0.262 0.263 0.264 0.266 0.273
 0.275 0.276 0.278 0.279 0.28  0.282 0.286 0.289 0.29  0.296 0.301 0.302
 0.303 0.305 0.307 0.309 0.317 0.319 0.32  0.321 0.323 0.326 0.329 0.334
 0.337 0.338 0.339 0.34  0.345 0.347 0.349 0.352 0.353 0.354 0.359 0.361
 0.363 0.364 0.366 0.368 0.372 0.374 0.375 0.377 0.379 0.38  0.382 0.386
 0.387 0.389 0.39  0.397 0.406 0.407 0.409 0.41  0.411 0.412 0.413 0.415
 0.418 0.421 0.425 0.426 0.436 0.437 0.451 0.463 0.464 0.47  0.476 0.48
 0.485 0.49  0.496 0.5   0.524 0.553 0.555 0.568 0.596 0.691 0.704 0.706
 0.743]","0      0
1      0
2      0
3      0
4      1
      ..
312    1
313    1
314    1
315    1
316    0
Name: usability_label, Length: 317, dtype: int64",only vec
Jira,is_change_text_num_words_5,10,"1    0.129834
5    0.119045
0    0.115779
3    0.100744
2    0.096539
8    0.093288
6    0.089288
9    0.087035
7    0.085754
4    0.082695
dtype: float64",0.5709779179810726,"[[149   5]
 [131  32]]","              precision    recall  f1-score   support

           0       0.53      0.97      0.69       154
           1       0.86      0.20      0.32       163

    accuracy                           0.57       317
   macro avg       0.70      0.58      0.50       317
weighted avg       0.70      0.57      0.50       317
",0.7500267713445876,0.7507560987043558,0.7203410086845671,"[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0]","[0.51419558 0.51265823 0.51111111 0.51273885 0.514377   0.51768489
 0.51935484 0.5210356  0.52272727 0.52442997 0.52614379 0.52459016
 0.52805281 0.52980132 0.5282392  0.53       0.53177258 0.53378378
 0.53401361 0.53583618 0.53767123 0.5395189  0.54137931 0.5432526
 0.54513889 0.54703833 0.54545455 0.54225352 0.54416961 0.54609929
 0.54448399 0.5483871  0.55035971 0.55234657 0.55434783 0.55272727
 0.55474453 0.55311355 0.55350554 0.55185185 0.55018587 0.55223881
 0.55263158 0.55471698 0.55513308 0.56153846 0.56370656 0.55859375
 0.55686275 0.55511811 0.55952381 0.56175299 0.564      0.56626506
 0.56451613 0.56680162 0.56910569 0.57142857 0.57613169 0.58091286
 0.58333333 0.58158996 0.58403361 0.58227848 0.58474576 0.58723404
 0.58974359 0.58798283 0.5862069  0.58441558 0.58695652 0.58951965
 0.59471366 0.6        0.60089686 0.6036036  0.60633484 0.60909091
 0.61187215 0.61290323 0.60747664 0.61032864 0.60849057 0.61137441
 0.61428571 0.61835749 0.62135922 0.62254902 0.62561576 0.62871287
 0.635      0.63819095 0.63959391 0.64285714 0.64102564 0.6443299
 0.64248705 0.64583333 0.64397906 0.64550265 0.64893617 0.65240642
 0.65217391 0.65934066 0.66298343 0.66666667 0.67039106 0.6741573
 0.67613636 0.67241379 0.67052023 0.66860465 0.66666667 0.67058824
 0.66863905 0.66467066 0.6686747  0.67073171 0.67484663 0.67283951
 0.67701863 0.68553459 0.6835443  0.68152866 0.67948718 0.68181818
 0.69078947 0.7027027  0.70748299 0.70344828 0.70138889 0.70629371
 0.70921986 0.70714286 0.71223022 0.71014493 0.70588235 0.71111111
 0.70895522 0.71428571 0.71969697 0.71755725 0.71538462 0.7109375
 0.71653543 0.712      0.70967742 0.70491803 0.70247934 0.70833333
 0.71428571 0.71794872 0.72413793 0.72173913 0.71929825 0.71681416
 0.71428571 0.72072072 0.72727273 0.74074074 0.73831776 0.73584906
 0.74038462 0.74757282 0.74509804 0.74747475 0.75510204 0.76041667
 0.76842105 0.76595745 0.77419355 0.77173913 0.76923077 0.76666667
 0.76404494 0.77272727 0.7816092  0.79069767 0.80722892 0.80487805
 0.80246914 0.8        0.79746835 0.80519481 0.80263158 0.8
 0.81081081 0.81944444 0.81690141 0.8115942  0.80882353 0.8030303
 0.828125   0.82539683 0.82258065 0.81967213 0.81666667 0.83050847
 0.84482759 0.84210526 0.83928571 0.83636364 0.82692308 0.82352941
 0.82       0.81632653 0.8125     0.82608696 0.82222222 0.8372093
 0.83333333 0.82926829 0.85       0.86842105 0.86486486 0.88888889
 0.88571429 0.88235294 0.87878788 0.875      0.90322581 0.9
 0.89285714 0.88888889 0.92307692 0.91666667 0.91304348 0.95454545
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.        ]","[1.         0.99386503 0.98773006 0.98773006 0.98773006 0.98773006
 0.98773006 0.98773006 0.98773006 0.98773006 0.98773006 0.98159509
 0.98159509 0.98159509 0.97546012 0.97546012 0.97546012 0.96932515
 0.96319018 0.96319018 0.96319018 0.96319018 0.96319018 0.96319018
 0.96319018 0.96319018 0.95705521 0.94478528 0.94478528 0.94478528
 0.93865031 0.93865031 0.93865031 0.93865031 0.93865031 0.93251534
 0.93251534 0.92638037 0.9202454  0.91411043 0.90797546 0.90797546
 0.90184049 0.90184049 0.89570552 0.89570552 0.89570552 0.87730061
 0.87116564 0.86503067 0.86503067 0.86503067 0.86503067 0.86503067
 0.85889571 0.85889571 0.85889571 0.85889571 0.85889571 0.85889571
 0.85889571 0.85276074 0.85276074 0.84662577 0.84662577 0.84662577
 0.84662577 0.8404908  0.83435583 0.82822086 0.82822086 0.82822086
 0.82822086 0.82822086 0.82208589 0.82208589 0.82208589 0.82208589
 0.82208589 0.81595092 0.79754601 0.79754601 0.79141104 0.79141104
 0.79141104 0.78527607 0.78527607 0.7791411  0.7791411  0.7791411
 0.7791411  0.7791411  0.77300613 0.77300613 0.76687117 0.76687117
 0.7607362  0.7607362  0.75460123 0.74846626 0.74846626 0.74846626
 0.73619632 0.73619632 0.73619632 0.73619632 0.73619632 0.73619632
 0.73006135 0.71779141 0.71165644 0.70552147 0.6993865  0.6993865
 0.69325153 0.6809816  0.6809816  0.67484663 0.67484663 0.66871166
 0.66871166 0.66871166 0.66257669 0.65644172 0.65030675 0.64417178
 0.64417178 0.63803681 0.63803681 0.62576687 0.6196319  0.6196319
 0.61349693 0.60736196 0.60736196 0.60122699 0.58895706 0.58895706
 0.58282209 0.58282209 0.58282209 0.57668712 0.57055215 0.55828221
 0.55828221 0.54601227 0.5398773  0.52760736 0.52147239 0.52147239
 0.52147239 0.51533742 0.51533742 0.50920245 0.50306748 0.49693252
 0.49079755 0.49079755 0.49079755 0.49079755 0.48466258 0.47852761
 0.47239264 0.47239264 0.46625767 0.45398773 0.45398773 0.44785276
 0.44785276 0.44171779 0.44171779 0.43558282 0.42944785 0.42331288
 0.41717791 0.41717791 0.41717791 0.41717791 0.41104294 0.40490798
 0.39877301 0.39263804 0.38650307 0.3803681  0.37423313 0.36809816
 0.36809816 0.36196319 0.35582822 0.34355828 0.33742331 0.32515337
 0.32515337 0.3190184  0.31288344 0.30674847 0.3006135  0.3006135
 0.3006135  0.29447853 0.28834356 0.28220859 0.26380368 0.25766871
 0.25153374 0.24539877 0.2392638  0.23312883 0.22699387 0.2208589
 0.21472393 0.20858896 0.20858896 0.20245399 0.19631902 0.19631902
 0.19018405 0.18404908 0.17791411 0.17177914 0.17177914 0.16564417
 0.15337423 0.14723926 0.14723926 0.13496933 0.12883436 0.12883436
 0.12883436 0.12269939 0.11656442 0.11042945 0.10429448 0.09202454
 0.08588957 0.0797546  0.07361963 0.06748466 0.06134969 0.05521472
 0.04907975 0.04294479 0.03680982 0.03067485 0.02453988 0.01840491
 0.01226994 0.00613497 0.        ]","[0.    0.002 0.005 0.009 0.012 0.013 0.014 0.017 0.02  0.022 0.024 0.026
 0.028 0.031 0.032 0.036 0.037 0.04  0.042 0.043 0.044 0.045 0.046 0.047
 0.049 0.053 0.054 0.056 0.057 0.06  0.063 0.065 0.067 0.07  0.071 0.072
 0.074 0.077 0.078 0.08  0.082 0.087 0.089 0.091 0.093 0.094 0.097 0.098
 0.103 0.105 0.11  0.112 0.116 0.117 0.12  0.121 0.124 0.131 0.132 0.138
 0.142 0.145 0.146 0.149 0.151 0.154 0.157 0.158 0.159 0.164 0.165 0.17
 0.174 0.175 0.177 0.178 0.179 0.181 0.182 0.183 0.186 0.187 0.188 0.189
 0.192 0.197 0.198 0.199 0.2   0.201 0.203 0.205 0.207 0.208 0.21  0.212
 0.213 0.215 0.22  0.221 0.225 0.227 0.228 0.232 0.235 0.238 0.243 0.244
 0.247 0.248 0.251 0.255 0.256 0.257 0.258 0.26  0.261 0.264 0.266 0.271
 0.272 0.275 0.279 0.28  0.281 0.284 0.286 0.287 0.288 0.29  0.293 0.296
 0.297 0.301 0.306 0.307 0.309 0.311 0.312 0.313 0.314 0.316 0.317 0.319
 0.322 0.323 0.324 0.326 0.327 0.328 0.332 0.335 0.337 0.338 0.339 0.34
 0.345 0.346 0.347 0.348 0.349 0.351 0.355 0.356 0.357 0.358 0.363 0.364
 0.366 0.367 0.368 0.369 0.372 0.373 0.374 0.375 0.377 0.38  0.383 0.387
 0.39  0.391 0.394 0.398 0.399 0.4   0.403 0.405 0.408 0.414 0.416 0.426
 0.427 0.43  0.431 0.437 0.445 0.448 0.453 0.454 0.463 0.465 0.466 0.467
 0.469 0.474 0.475 0.476 0.483 0.488 0.492 0.493 0.494 0.5   0.501 0.502
 0.505 0.508 0.512 0.515 0.516 0.517 0.521 0.522 0.527 0.531 0.539 0.54
 0.541 0.543 0.549 0.582 0.587 0.594 0.603 0.613 0.62  0.621 0.626 0.636
 0.637 0.641 0.664 0.665 0.69  0.699 0.724 0.75 ]","0      0
1      0
2      0
3      0
4      1
      ..
312    1
313    1
314    1
315    1
316    0
Name: usability_label, Length: 317, dtype: int64",only vec
