project_key,usability_label,Model,feature_importance,accuracy,confusion_matrix,classification_report,area_under_pre_recall_curve,avg_precision,area_under_roc_curve,y_pred,precision,recall,thresholds
Qt,is_change_text_num_words_20,RF,"len_description                           0.114887
num_sentences                             0.097079
num_words                                 0.087373
len_sum_desc                              0.078297
ratio_unusable_issues_text_by_previous    0.051991
num_stopwords                             0.049326
10                                        0.048087
6                                         0.047276
14                                        0.043588
11                                        0.039331
9                                         0.033142
num_issues_cretor_prev                    0.028283
0                                         0.024882
1                                         0.024601
avg_num_word_in_sentence                  0.024460
12                                        0.024260
8                                         0.023349
2                                         0.022678
4                                         0.022083
3                                         0.021810
5                                         0.017957
avg_word_len                              0.016471
13                                        0.015862
7                                         0.015340
time_until_add_sprint                     0.009689
original_story_points_sprint              0.005354
num_changes_text_before_sprint            0.004553
has_url                                   0.003032
dominant_topic_1                          0.002489
num_question_marks                        0.002473
relates                                   0.000000
duplicate_by                              0.000000
num_headlines                             0.000000
duplicate                                 0.000000
priority                                  0.000000
has_template                              0.000000
has_acceptance_criteria                   0.000000
if_acceptance_empty_tbd                   0.000000
len_acceptance                            0.000000
has_tbd                                   0.000000
has_please                                0.000000
if_description_empty_tbd                  0.000000
num_comments_before_sprint                0.000000
block_by                                  0.000000
num_changes_story_point_before_sprint     0.000000
noun_count                                0.000000
has_code                                  0.000000
adj_count                                 0.000000
adv_count                                 0.000000
pron_count                                0.000000
block                                     0.000000
verb_count                                0.000000
dtype: float64",0.8994322789943228,"[[561.66583541  54.83416459]
 [349.35       267.15      ]]","              precision    recall  f1-score   support

           0       0.62      0.91      0.74 616.4999999999953
           1       0.83      0.43      0.57 616.4999999999999

    accuracy                           0.67 1232.9999999999952
   macro avg       0.72      0.67      0.65 1232.9999999999952
weighted avg       0.72      0.67      0.65 1232.9999999999952
",0.7972916369497348,0.8021429646599569,0.8036021058464949,[0 0 0 ... 0 0 0],[0.5        0.5002079  0.50041597 ... 1.         1.         1.        ],[1.         1.         1.         ... 0.06666667 0.03333333 0.        ],[0.01844733 0.01941706 0.0198905  ... 0.67610772 0.68044445 0.68782946]
Qt,is_change_text_num_words_20,XGboost,"len_description                           7.407074e-02
len_sum_desc                              6.221197e-02
14                                        5.223162e-02
num_words                                 5.043451e-02
10                                        4.453202e-02
8                                         4.224118e-02
6                                         4.139322e-02
ratio_unusable_issues_text_by_previous    4.123758e-02
13                                        3.807529e-02
4                                         3.800537e-02
0                                         3.725542e-02
11                                        3.697048e-02
5                                         3.628841e-02
9                                         3.596131e-02
num_issues_cretor_prev                    3.556399e-02
2                                         3.462025e-02
12                                        3.403247e-02
1                                         3.380242e-02
3                                         3.340113e-02
num_stopwords                             3.254482e-02
num_sentences                             3.058014e-02
7                                         3.056523e-02
avg_word_len                              2.924270e-02
avg_num_word_in_sentence                  2.862847e-02
time_until_add_sprint                     2.161542e-02
original_story_points_sprint              9.567897e-03
num_changes_text_before_sprint            5.188186e-03
dominant_topic_1                          4.006900e-03
has_url                                   2.219802e-03
block_by                                  7.890466e-04
num_question_marks                        7.397426e-04
has_template                              6.218381e-04
has_tbd                                   5.869275e-04
num_changes_story_point_before_sprint     3.973920e-04
has_please                                1.645942e-04
duplicate                                 1.032600e-04
relates                                   1.023470e-04
num_headlines                             5.914537e-06
has_acceptance_criteria                   1.639698e-08
duplicate_by                              1.737160e-10
block                                     0.000000e+00
pron_count                                0.000000e+00
adv_count                                 0.000000e+00
adj_count                                 0.000000e+00
has_code                                  0.000000e+00
noun_count                                0.000000e+00
num_comments_before_sprint                0.000000e+00
priority                                  0.000000e+00
if_description_empty_tbd                  0.000000e+00
len_acceptance                            0.000000e+00
if_acceptance_empty_tbd                   0.000000e+00
verb_count                                0.000000e+00
dtype: float64",0.9748580697485807,"[[6.15987531e+02 5.12468828e-01]
 [6.16500000e+02 0.00000000e+00]]","              precision    recall  f1-score   support

           0       0.50      1.00      0.67 616.4999999999953
           1       0.00      0.00      0.00 616.4999999999999

    accuracy                           0.50 1232.9999999999952
   macro avg       0.25      0.50      0.33 1232.9999999999952
weighted avg       0.25      0.50      0.33 1232.9999999999952
",0.7731537924037462,0.7945758421975304,0.7956220559711831,[0 0 0 ... 0 0 0],[0.5        0.5002079  0.50041597 ... 0.         0.         1.        ],[1. 1. 1. ... 0. 0. 0.],"[3.03247058e-09 3.11932594e-09 3.12821818e-09 ... 9.77679092e-02
 1.50980514e-01 6.91885764e-01]"
Qt,is_change_text_num_words_20,NN,[],0.9416058394160584,"[[1156   47]
 [  25    5]]","              precision    recall  f1-score   support

           0       0.98      0.96      0.97      1203
           1       0.10      0.17      0.12        30

    accuracy                           0.94      1233
   macro avg       0.54      0.56      0.55      1233
weighted avg       0.96      0.94      0.95      1233
",0.06114903284330807,0.07235622665112731,0.5623164311443614,[0 0 1 ... 0 0 0],[0.0243309  0.02435065 0.02437043 ... 0.         0.         1.        ],[1. 1. 1. ... 0. 0. 0.],"[4.44998293e-09 1.32302377e-08 1.91060221e-08 ... 9.99817595e-01
 9.99824583e-01 9.99999702e-01]"
Qt,is_change_text_num_words_20,Empty,[],0.9740470397404704,"[[1201    2]
 [  30    0]]","              precision    recall  f1-score   support

           0       0.98      1.00      0.99      1203
           1       0.00      0.00      0.00        30

    accuracy                           0.97      1233
   macro avg       0.49      0.50      0.49      1233
weighted avg       0.95      0.97      0.96      1233
",0.012165450121654502,0.024330900243309004,0.499168744804655,"0       0
1       0
2       0
3       0
4       0
       ..
1228    0
1229    0
1230    0
1231    0
1232    0
Name: label_is_empty, Length: 1233, dtype: int64",[0.0243309 0.        1.       ],[1. 0. 0.],[0. 1.]
Qt,is_change_text_num_words_20,Zero,[],0.975669099756691,"[[1203    0]
 [  30    0]]","              precision    recall  f1-score   support

           0       0.98      1.00      0.99      1203
           1       0.00      0.00      0.00        30

    accuracy                           0.98      1233
   macro avg       0.49      0.50      0.49      1233
weighted avg       0.95      0.98      0.96      1233
",0.5121654501216545,0.024330900243309004,0.5,"0       0
1       0
2       0
3       0
4       0
       ..
1228    0
1229    0
1230    0
1231    0
1232    0
Name: all, Length: 1233, dtype: int64",[0.0243309 1.       ],[1. 0.],[0.]
Qt,is_change_text_num_words_20,Random,[],0.5036496350364964,"[[605 598]
 [ 14  16]]","              precision    recall  f1-score   support

           0       0.98      0.50      0.66      1203
           1       0.03      0.53      0.05        30

    accuracy                           0.50      1233
   macro avg       0.50      0.52      0.36      1233
weighted avg       0.95      0.50      0.65      1233
",0.024999551867891635,0.02697904529196539,0.4831809365475201,"0       0
1       0
2       1
3       1
4       0
       ..
1228    1
1229    1
1230    1
1231    1
1232    1
Name: pred, Length: 1233, dtype: int64",[0.0243309  0.02435065 0.02437043 ... 0.         0.         1.        ],[1. 1. 1. ... 0. 0. 0.],"[8.43419946e-04 3.22703610e-03 3.59060783e-03 ... 9.99171112e-01
 9.99302798e-01 9.99944995e-01]"
