,k_unstable,AUC_PRC_Rnd,AUC_PRC_RF,AUC_PRC_NN,AUC_PRC_XG,AUC_ROC_Rnd,AUC_ROC_RF,AUC_ROC_NN,AUC_ROC_XG,Acc_Rnd,Acc_RF,Acc_NN,Acc_XG
0,5,0.5085032851969908,0.7930972403443909,0.6928829091856717,0.7998605103123319,0.5018788813733635,0.7947668209327161,0.7036905185712591,0.7929670503540207,0.5031446540880503,0.6981132075471698,0.6792452830188679,0.6886792452830188
1,10,0.4898096845212027,0.7867945174901825,0.7052620888761195,0.7972257485892688,0.4726480491186373,0.8041592394533571,0.7267181620122798,0.8108932461873639,0.4622641509433962,0.7232704402515723,0.6761006289308176,0.7232704402515723
2,15,0.5031775225141297,0.7645350582723128,0.6576438299381856,0.752701697387008,0.5124498629919383,0.8012787419085818,0.7149438068384893,0.7936936579166831,0.5094339622641509,0.7075471698113207,0.6572327044025157,0.720125786163522
3,20,0.1476350890624824,0.1789744982867163,0.1672447623084756,0.1675952090903247,0.4662255307416597,0.6031614741292161,0.553349875930521,0.5730171859204116,0.4716981132075472,0.8742138364779874,0.8773584905660378,0.8710691823899371
