,k_unstable,AUC_PRC_Rnd,AUC_PRC_RF,AUC_PRC_NN,AUC_PRC_XG,AUC_ROC_Rnd,AUC_ROC_RF,AUC_ROC_NN,AUC_ROC_XG,Acc_Rnd,Acc_RF,Acc_NN,Acc_XG
0,5,0.1577316304597713,0.1771874348638113,0.152179458760364,0.1514996864249863,0.4885108481262328,0.5531065088757396,0.5013313609467456,0.5035996055226825,0.5175879396984925,0.8492462311557789,0.8492462311557789,0.8492462311557789
1,10,0.1290101167848163,0.1458056661217328,0.0943191726345292,0.1023788725419595,0.471339665902391,0.5624631509990174,0.4526039960694399,0.4888306583688175,0.4849246231155779,0.8919597989949749,0.8919597989949749,0.8919597989949749
2,15,0.060107003610873,0.1179978583865651,0.0702699423669626,0.106857809259333,0.3605645496056455,0.6262349522623496,0.4384391863843918,0.6054794520547945,0.4874371859296482,0.9170854271356784,0.9170854271356784,0.9170854271356784
3,20,0.0624671734286572,0.1742968387445931,0.0578668303560609,0.1408050836547286,0.4721042471042471,0.6288127413127412,0.4191119691119691,0.6598455598455598,0.5025125628140703,0.9296482412060302,0.9296482412060302,0.9296482412060302
