,k_unstable,AUC_PRC_Rnd,AUC_PRC_RF,AUC_PRC_NN,AUC_PRC_XG,AUC_ROC_Rnd,AUC_ROC_RF,AUC_ROC_NN,AUC_ROC_XG,Acc_Rnd,Acc_RF,Acc_NN,Acc_XG
0,5,0.1824767155504588,0.2933323394057668,0.2952116703219885,0.2833614908969417,0.5000721042916474,0.6618272669589295,0.6478570604522381,0.6560769497000462,0.4896265560165975,0.8153526970954357,0.8174273858921162,0.8163900414937759
1,10,0.1416940672252758,0.2713921902994525,0.2521086023954185,0.2647043560055839,0.4824286350707651,0.6869367053904939,0.642421438607313,0.6673434769199136,0.5031120331950207,0.8516597510373444,0.8526970954356846,0.8547717842323651
2,15,0.1307794383816615,0.2522425872405763,0.2350282061264857,0.244977227872285,0.5209785444492037,0.6948619602040419,0.6529048713056346,0.6846501304466336,0.5051867219917012,0.8724066390041494,0.8734439834024896,0.8724066390041494
3,20,0.1249988275738618,0.2165746703623636,0.2193429130572526,0.2324660571720372,0.5014461770623742,0.6977699530516432,0.6368523641851105,0.700002095908786,0.483402489626556,0.8827800829875518,0.8838174273858921,0.8827800829875518
